"plot_number","prow","pcol","grow","gcol","subplot"
47,19,"11",1,1,3
47,19,"11",1,2,2
47,19,"11",1,3,1
38,19,"12",1,1,3
38,19,"12",1,2,2
38,19,"12",1,3,1
19,19,"13",1,1,3
19,19,"13",1,2,2
19,19,"13",1,3,1
10,19,"14",1,1,3
10,19,"14",1,2,2
10,19,"14",1,3,1
375,20,"1",1,1,3
375,20,"1",1,2,2
375,20,"1",1,3,1
342,20,"2",1,1,3
342,20,"2",1,2,2
342,20,"2",1,3,1
160,20,"3",1,1,3
160,20,"3",1,2,2
160,20,"3",1,3,1
149,20,"4",1,1,3
149,20,"4",1,2,2
149,20,"4",1,3,1
132,20,"5",1,1,3
132,20,"5",1,2,2
132,20,"5",1,3,1
121,20,"6",1,1,3
121,20,"6",1,2,2
121,20,"6",1,3,1
104,20,"7",1,1,3
104,20,"7",1,2,2
104,20,"7",1,3,1
93,20,"8",1,1,3
93,20,"8",1,2,2
93,20,"8",1,3,1
76,20,"9",1,1,3
76,20,"9",1,2,2
76,20,"9",1,3,1
65,20,"10",1,1,3
65,20,"10",1,2,2
65,20,"10",1,3,1
48,20,"11",1,1,3
48,20,"11",1,2,2
48,20,"11",1,3,1
37,20,"12",1,1,3
37,20,"12",1,2,2
37,20,"12",1,3,1
20,20,"13",1,1,3
20,20,"13",1,2,2
20,20,"13",1,3,1
9,20,"14",1,1,3
9,20,"14",1,2,2
9,20,"14",1,3,1
376,21,"1",1,1,3
376,21,"1",1,2,2
376,21,"1",1,3,1
341,21,"2",1,1,3
341,21,"2",1,2,2
341,21,"2",1,3,1
161,21,"3",1,1,3
161,21,"3",1,2,2
161,21,"3",1,3,1
148,21,"4",1,1,3
148,21,"4",1,2,2
148,21,"4",1,3,1
133,21,"5",1,1,3
133,21,"5",1,2,2
133,21,"5",1,3,1
120,21,"6",1,1,3
120,21,"6",1,2,2
120,21,"6",1,3,1
105,21,"7",1,1,3
105,21,"7",1,2,2
105,21,"7",1,3,1
92,21,"8",1,1,3
92,21,"8",1,2,2
92,21,"8",1,3,1
77,21,"9",1,1,3
77,21,"9",1,2,2
77,21,"9",1,3,1
64,21,"10",1,1,3
64,21,"10",1,2,2
64,21,"10",1,3,1
49,21,"11",1,1,3
49,21,"11",1,2,2
49,21,"11",1,3,1
36,21,"12",1,1,3
36,21,"12",1,2,2
36,21,"12",1,3,1
21,21,"13",1,1,3
21,21,"13",1,2,2
21,21,"13",1,3,1
8,21,"14",1,1,3
8,21,"14",1,2,2
8,21,"14",1,3,1
