"plot","block","Entry","Name","Pedigree"
101,1,203,"TX07CS2652","Harrison//TAMO 406"
102,1,280,"FLLA17030-18","HZN 306  / LA16090,F1 (LA08085SBSBS-30 / MN2013BT1021-1-2)"
103,1,350,"TX19CAS0017","TX07CS1948/LA08051BS-T2//TX14OCS5189"
104,1,281,"FLLA17032-5","HZN 306  / NC09-4274N"
105,1,129,"LA97006GSB-59-2-4-SBS1","TAMO 405/LA99016"
106,1,349,"TX19CAS0004","LA07005SBSBSB12/TXO7CS1948"
107,1,360,"TX19CAS0067","TX14OCS5003/LA09074SBS-U4"
108,1,143,"NC12-3963","NC03-2421 / SS76-40"
109,1,91,"LA08021SBSBS-7-S1","FL01016-H4/LA99016"
110,1,451,"TX18OCS9061","LA09013SBSBU6-AB1/TX11CS009"
111,1,361,"TX19CAS0073","LA08085BS-T4/TX02D079"
112,1,54,"LA04014SBSB-39","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1"
113,1,89,"LA08016SBSBS-44-S1","BW5-33/UFRGS046048-1"
114,1,255,"FL13123-60","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13"
115,1,210,"TX14OCS5010","TX02U7227//NF27"
116,1,270,"FLLA17078-54","LA10041SSBS-80 / LA16153,F1 (NC12-3578 / TX14OCS5208)"
117,1,228,"TX14OCS5080","LA99016//TX02U7682"
118,1,66,"LA06063SBSB-S1","UFRGS 028152-1/LA02079-S-B-69-S2"
119,1,144,"NC13-6579","NC01-3981/WN10B//NC01-3981"
120,1,440,"FLLA17069-57","LA09015SBS-U4/LA99016"
121,1,222,"TX14OCS5054","TX02U7029//TX00D110"
122,1,420,"LA16118SSBSS-6-1","LA15041,F1,(HZN 306 (LA05006) / FL0720-R6) / TX14OCS5212"
123,1,1,"BIG MAC","Coker 68-16/Coker 69-26//Coker 68-23/Coker 68-26 4/Sg/ PI 287211"
124,1,300,"TX20CAS1014","TX07CS1948/TX15OCS6039"
125,1,25,"FL1013-2","SD60130(IL95-1241/W00276)/UFRGS 087212-1"
126,1,202,"TX07CS2140","NC97-8972N=(Bulk Sel)//TAMO 405"
