,Oat,OatGrain_Inter,FreezeDamage_Inter,GrowthStage_Inter,Lodging_Inter,Height_Inter,PeaGrain_Inter,OatGrain_Mono,FreezeDamage_Mono,GrowthStage_Mono,Lodging_Mono,Height_Mono,selIndex
75,NF13-4173-4_6,-5.33,0.02,-0.03,-0.06,1.48,-1.67,-12.66,0.12,-0.02,-0.19,1.79,-16.409
72,NC21-6475,-2.15,0.12,-0.02,0.64,1.56,-6.65,0.86,0.19,0.07,3.79,-2.12,-18.335
79,LA17075SBSS-29-1,1.66,0.05,-0.04,-0.34,-0.27,-2.73,-30.23,0.13,-0.03,-0.42,-4.76,-19.921
80,NF401_1,-2.63,0.02,-0.03,-0.06,2.31,-7.74,-12.87,0.12,-0.02,0.61,3.39,-21.498
74,Savage,13.06,0.42,-0.05,-0.84,4.18,-21.06,-2.83,0.2,-0.02,-1.2,4.47,-24.727
76,FLLA17069-65,12.26,0.47,0.09,0.02,6.34,-19.75,-0.27,0.25,0.05,1.16,9.15,-26.295
85,LA08039SBSBS-56-A1,3.45,-0.43,-0.04,-0.85,9.7,-34.05,-9.23,-0.26,0.05,-1.57,8.2,-26.57
82,NF13-4153-4_2,-5.18,0.06,-0.04,-0.01,0.41,-6.9,-20.78,0.17,-0.03,-0.17,0.96,-28.495
84,TX19CAS0057,-3.02,0.18,-0.04,0.15,4.44,-12.38,-11.11,0.19,0.05,0.67,3.26,-31.296
86,NF12AS-122-4_3,-14.11,-0.14,-0.03,0.53,3.78,-9.91,-5.76,0.23,-0.02,0.73,2.93,-31.677
81,NC21-6505,-3.04,0.5,-0.02,-0.2,-9.21,-3.13,-8.84,0.56,-0.01,-0.96,-3.99,-31.796
90,NC18-5877N,-23.6,0.08,0.2,0.3,-2.68,7.43,-31.43,0.13,0.11,0.11,0.18,-34.334
83,FLLA17069-52,3.61,0.12,-0.04,-0.56,7,-26.33,1.88,0.29,-0.01,-0.69,6.37,-34.441
88,Clav 4476,-6.53,0.19,-0.02,0.42,16.04,-9.16,-18.82,0.14,-0.02,2.11,21.13,-35.087
87,SCLA17018SBSS-45-1,-14.33,0.45,0.08,-0.06,-0.4,4.84,-22.61,0.43,0.06,-0.31,-4.02,-36.932
92,NC09-4503N,-18.22,-0.17,0.09,0.6,-1.93,-3.89,-34.2,0.13,0.05,0.59,-6.78,-39.803
91,Clav 7618,-29.94,0.15,-0.02,0.23,8.1,3.97,-17.6,0.14,-0.01,-0.14,6.85,-39.996
89,FLLA17069-53,-3.61,0.45,-0.03,-0.58,-3.37,-13.78,-13.53,0.33,-0.02,-0.54,-0.07,-41.761
93,FLLA16083-25,-32.57,0.09,0.08,0.34,-2.44,1.21,-33.73,0.11,-0.01,1.23,-0.99,-52.798
94,Clav 6982,-29.95,0.47,-0.03,0.01,11.09,-1.96,-30.82,0.06,-0.03,0.28,9.04,-58.582
