observationUnitName,germplasmName,Grain weight - g|CO_350:0005123,Pea grain weight - g|COMP:0000009,harvest_order,plot_number,inter_crop,prior_harvest,prior_crop,prior_rank
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_309,SCLA17018SBSS-45-1,638,428,192,309,oat-pea,192,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,SCLA17080SBS-4-2,984,15,297,316,oat,297,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_323,NC21-6502,828,16,378,323,oat,378,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_327,Juggernaut,894,13,326,327,oat,326,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_330,NC21-6609,831,15,275,330,oat,275,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,FLLA17088-61,663,8,75,339,oat,75,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_348,NC20-4795,739,7,190,348,oat,190,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_351,FLLA16083-25,640,40,243,351,oat,243,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_356,FLLA11019-8,714,891,302,356,oat-pea,302,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,NF12AS-107-4_4,954,8,329,359,oat,329,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_364,NC20-4700,717,10,272,364,oat,272,pea,4
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367,NC21-6511,927,7,217,367,oat,217,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_370,NF13-4173-4_4,911,34,188,370,oat,188,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_371,NF97405B2,777,3,161,371,oat,161,oat-pea,3
Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,NF99414,695,NA,76,378,oat,76,oat,2
