fid,prow,pcol,grow,gcol,5-12-24_count,5-12-24_sum,5-12-24_mean
"639","16","3","1","3",2953,288.22509765625,0.0976041644619878
"640","16","4","1","1",2959,628.063262939453,0.212255242629082
"641","16","4","1","2",2952,806.934509277344,0.273351798535686
"642","16","4","1","3",2958,763.300445556641,0.258046127639162
"643","16","5","1","1",2952,540.388000488281,0.183058265748063
"644","16","5","1","2",2958,614.972778320312,0.20790154777563
"645","16","5","1","3",2961,530.703125,0.179231045254981
"646","16","6","1","1",2958,610.774353027344,0.206482201834802
"647","16","6","1","2",2956,611.434204101562,0.206845129939635
"648","16","6","1","3",2953,507.394989013672,0.171823565531213
"649","16","7","1","1",2951,635.754669189453,0.21543702785139
"650","16","7","1","2",2956,624.904296875,0.211401994883288
"651","16","7","1","3",2962,432.951599121094,0.146168669520963
"652","16","8","1","1",2953,749.718597412109,0.253883710603491
"653","16","8","1","2",2963,585.448822021484,0.197586507600906
"654","16","8","1","3",2952,533.357238769531,0.180676571398893
"655","16","9","1","1",2958,694.654388427734,0.234839211774082
"656","16","9","1","2",2952,640.711791992188,0.217043289970253
"657","16","9","1","3",2960,507.214416503906,0.17135622179186
"658","16","10","1","1",2951,652.918762207031,0.221253392818377
"659","16","10","1","2",2960,732.313812255859,0.247403314951304
"660","16","10","1","3",2958,597.626617431641,0.202037396021515
"661","16","11","1","1",2959,703.198883056641,0.237647476531477
"662","16","11","1","2",2955,774.364929199219,0.262052429509042
"663","16","11","1","3",2953,723.771301269531,0.24509695268186
"664","16","12","1","1",2951,154.788513183594,0.0524529017904418
"665","16","12","1","2",2956,150.3701171875,0.0508694577765562
"666","16","12","1","3",2961,199.801208496094,0.0674776117852394
"667","16","13","1","1",2959,967.425659179688,0.326943446833284
"668","16","13","1","2",2957,971.961608886719,0.328698548828786
"669","16","13","1","3",2953,867.723480224609,0.29384472747193
"670","16","14","1","1",2958,889.748321533203,0.300793888280326
"671","16","14","1","2",2949,919.152557373047,0.31168279327672
"672","16","14","1","3",2962,907.897552490234,0.306515041353894
"673","17","1","1","1",2954,538.381591796875,0.182255108935977
"674","17","1","1","2",2963,607.5341796875,0.205040222641748
"675","17","1","1","3",2952,604.771362304688,0.20486834766419
"676","17","2","1","1",2961,540.220458984375,0.182445274901849
"677","17","2","1","2",2954,531.632904052734,0.179970515928482
"678","17","2","1","3",2952,630.956207275391,0.213738552600065
"679","17","3","1","1",2954,439.186340332031,0.148675132136774
"680","17","3","1","2",2957,581.668304443359,0.196708929470193
"681","17","3","1","3",2959,562.599670410156,0.190131689898667
"682","17","4","1","1",2961,411.984191894531,0.139136842922841
"683","17","4","1","2",2957,588.7197265625,0.199093583551742
"684","17","4","1","3",2950,685.482330322266,0.232366891634666
"685","17","5","1","1",2954,550.729705810547,0.186435242319075
"686","17","5","1","2",2955,539.379150390625,0.182531015360618
"687","17","5","1","3",2959,585.947479248047,0.198022128843544
"688","17","6","1","1",2955,122.609710693359,0.0414922878826935
"689","17","6","1","2",2964,275.439270019531,0.0929282287515288
"690","17","6","1","3",2949,450.763977050781,0.15285316278426
"691","17","7","1","1",2962,421.181732177734,0.142195048000586
"692","17","7","1","2",2951,585.885101318359,0.198537818135669
"693","17","7","1","3",2957,635.374267578125,0.214871243685534
"694","17","8","1","1",2954,650.813323974609,0.22031595259804
"695","17","8","1","2",2959,688.115264892578,0.232549937442575
"696","17","8","1","3",2959,645.037689208984,0.217991784119292
"697","17","9","1","1",2962,781.387054443359,0.263803867131451
"698","17","9","1","2",2957,770.927429199219,0.260712691646675
"699","17","9","1","3",2951,774.435089111328,0.262431409390487
"700","17","10","1","1",2952,468.324920654297,0.158646653338176
"701","17","10","1","2",2956,629.074920654297,0.212812896026487
"702","17","10","1","3",2962,654.866638183594,0.221089344423901
"703","17","11","1","1",2958,625.936767578125,0.211608102629522
"704","17","11","1","2",2961,720.837005615234,0.243443770893358
"705","17","11","1","3",2954,822.8115234375,0.27854147712847
"706","17","12","1","1",2959,981.49072265625,0.331696763317421
"707","17","12","1","2",2951,968.471099853516,0.32818403925907
"708","17","12","1","3",2961,950.176452636719,0.320897147124863
"709","17","13","1","1",2952,1103.6545715332,0.37386672477412
"710","17","13","1","2",2962,1159.00762939453,0.391292244900247
"711","17","13","1","3",2957,1299.24551391602,0.439379612416644
"712","17","14","1","1",2961,525.829925537109,0.177585250096964
"713","17","14","1","2",2955,492.450256347656,0.166649832943369
"714","17","14","1","3",2953,505.986511230469,0.171346600484412
"715","18","1","1","1",2951,674.564361572266,0.228588397686298
"716","18","1","1","2",2956,812.731689453125,0.274943061384684
"717","18","1","1","3",2961,741.328216552734,0.250364139328853
"718","18","2","1","1",2960,881.430084228516,0.297780433860985
"719","18","2","1","2",2956,729.522430419922,0.246793785663032
"720","18","2","1","3",2953,687.190307617188,0.232709213551367
"721","18","3","1","1",2957,762.9482421875,0.258014285487826
"722","18","3","1","2",2949,864.177368164062,0.293040816603616
"723","18","3","1","3",2962,769.410736083984,0.259760545605667
"724","18","4","1","1",2953,700.273742675781,0.237139770631826
"725","18","4","1","2",2962,809.231872558594,0.273204548466777
"726","18","4","1","3",2954,665.280029296875,0.225213280059876
